question,answer
Luật Thuế thu nhập cá nhân quy định mức giảm trừ gia cảnh là bao nhiêu?,"Mức giảm trừ gia cảnh hiện nay là 11 triệu đồng mỗi tháng cho bản thân người nộp thuế và 4,4 triệu đồng mỗi tháng cho mỗi người phụ thuộc."
Điều kiện để một công ty được thành lập là gì?,"Công ty phải có đủ vốn điều lệ, có trụ sở chính rõ ràng và có điều lệ công ty phù hợp với quy định của pháp luật."
Luật Kinh doanh bất động sản quy định điều kiện để một dự án bất động sản được mở bán là gì?,Dự án bất động sản phải hoàn thành xong phần móng của công trình và có giấy phép xây dựng hợp lệ.
Người lao động có được nghỉ việc trong thời gian thử việc không?,Người lao động có quyền nghỉ việc trong thời gian thử việc nhưng phải thông báo trước cho người sử dụng lao động.
Thời hạn tối đa của hợp đồng thuê nhà là bao lâu?,"Thời hạn tối đa của hợp đồng thuê nhà là do các bên thỏa thuận, nhưng nếu không có thỏa thuận thì là 5 năm."
Công ty cổ phần có bắt buộc phải có Ban kiểm soát không?,Công ty cổ phần có từ 11 cổ đông trở lên hoặc có cổ đông là tổ chức sở hữu trên 50% vốn điều lệ phải có Ban kiểm soát.
Luật Doanh nghiệp quy định số lượng thành viên tối thiểu của Hội đồng quản trị là bao nhiêu?,Số lượng thành viên tối thiểu của Hội đồng quản trị là 3 người.
Thời hạn tối đa của giấy chứng nhận đăng ký doanh nghiệp là bao lâu?,"Giấy chứng nhận đăng ký doanh nghiệp không có thời hạn tối đa, nó có hiệu lực cho đến khi doanh nghiệp bị giải thể hoặc bị thu hồi."
"Luật Đất đai quy định việc cấp sổ đỏ cho hộ gia đình, cá nhân như thế nào?","Sổ đỏ được cấp cho hộ gia đình, cá nhân khi có đầy đủ giấy tờ chứng minh quyền sử dụng đất và không có tranh chấp."
Điều kiện để một doanh nghiệp được cấp giấy phép kinh doanh là gì?,"Doanh nghiệp phải đáp ứng đủ các điều kiện về vốn, ngành nghề kinh doanh và trụ sở hoạt động theo quy định của pháp luật."
Thời hạn bảo vệ quyền sở hữu công nghiệp đối với nhãn hiệu là bao lâu?,"Thời hạn bảo vệ quyền sở hữu công nghiệp đối với nhãn hiệu là 10 năm và có thể gia hạn nhiều lần, mỗi lần 10 năm."
Luật Hôn nhân và Gia đình quy định về tài sản chung và tài sản riêng của vợ chồng như thế nào?,"Tài sản chung của vợ chồng bao gồm tài sản do vợ chồng tạo ra, thu nhập do lao động, sản xuất, kinh doanh và hoa lợi, lợi tức phát sinh từ tài sản riêng. Tài sản riêng là tài sản mỗi người có trước khi kết hôn hoặc được thừa kế riêng, tặng cho riêng."
Điều kiện để được hưởng bảo hiểm thất nghiệp là gì?,"Người lao động phải có hợp đồng lao động hoặc hợp đồng làm việc, đã đóng bảo hiểm thất nghiệp đủ 12 tháng trở lên trong vòng 24 tháng trước khi chấm dứt hợp đồng lao động."
Luật Doanh nghiệp quy định về trách nhiệm của người đại diện theo pháp luật như thế nào?,Người đại diện theo pháp luật có trách nhiệm quản lý và điều hành hoạt động của doanh nghiệp theo đúng quy định của pháp luật và điều lệ công ty.
Thời hạn bảo vệ quyền sở hữu trí tuệ đối với giống cây trồng là bao lâu?,"Thời hạn bảo vệ quyền sở hữu trí tuệ đối với giống cây trồng là 25 năm đối với cây thân gỗ và cây nho, và 20 năm đối với các loài cây trồng khác."
Luật Lao động quy định về thời gian nghỉ giữa giờ của người lao động như thế nào?,"Người lao động làm việc 8 giờ liên tục được nghỉ giữa giờ ít nhất 30 phút, làm việc ban đêm được nghỉ giữa giờ ít nhất 45 phút."
Điều kiện để một hợp đồng kinh tế có hiệu lực là gì?,"Hợp đồng kinh tế có hiệu lực khi được lập thành văn bản, có nội dung rõ ràng và đầy đủ các điều khoản theo quy định của pháp luật và được các bên ký kết."
Người lao động có quyền được hưởng chế độ thai sản khi nào?,Người lao động nữ được hưởng chế độ thai sản khi sinh con nếu đã đóng bảo hiểm xã hội đủ 6 tháng trở lên trong vòng 12 tháng trước khi sinh con.
Thời hạn tối đa của giấy phép xây dựng tạm thời là bao lâu?,Giấy phép xây dựng tạm thời có thời hạn tối đa là 5 năm kể từ ngày cấp.
Luật Giao thông đường bộ quy định về việc đội mũ bảo hiểm như thế nào?,"Người điều khiển và người ngồi trên xe mô tô, xe gắn máy phải đội mũ bảo hiểm đạt chuẩn khi tham gia giao thông."
Điều kiện để một người nước ngoài được cấp giấy phép lao động tại Việt Nam là gì?,"Người nước ngoài phải có năng lực hành vi dân sự đầy đủ, có trình độ chuyên môn, tay nghề và sức khỏe phù hợp với yêu cầu công việc."
Luật Cạnh tranh quy định về hành vi cạnh tranh không lành mạnh như thế nào?,"Hành vi cạnh tranh không lành mạnh bao gồm quảng cáo gian dối, ép giá, và các hành vi làm mất uy tín của đối thủ cạnh tranh."
Thời hạn bảo vệ quyền sở hữu trí tuệ đối với phần mềm máy tính là bao lâu?,Quyền tác giả đối với phần mềm máy tính được bảo hộ suốt cuộc đời tác giả và 50 năm sau khi tác giả qua đời.
Người sử dụng lao động có quyền chấm dứt hợp đồng lao động khi nào?,"Người sử dụng lao động có quyền chấm dứt hợp đồng lao động khi người lao động thường xuyên không hoàn thành công việc, vi phạm kỷ luật hoặc khi doanh nghiệp thay đổi cơ cấu, công nghệ."
Thời hạn tối đa của hợp đồng thuê đất là bao lâu?,Thời hạn tối đa của hợp đồng thuê đất là 50 năm và có thể gia hạn thêm nhưng không quá 20 năm.
Luật Quảng cáo quy định về các hành vi bị cấm trong quảng cáo như thế nào?,"Các hành vi bị cấm trong quảng cáo bao gồm quảng cáo gây nhầm lẫn, xúc phạm danh dự, nhân phẩm và quảng cáo các sản phẩm bị cấm."
Điều kiện để được hưởng chế độ nghỉ hưu là gì?,Người lao động phải đủ tuổi nghỉ hưu theo quy định và có đủ 20 năm đóng bảo hiểm xã hội trở lên.
Luật Đầu tư quy định về các ngành nghề kinh doanh có điều kiện như thế nào?,"Các ngành nghề kinh doanh có điều kiện là những ngành nghề mà việc kinh doanh phải tuân theo các điều kiện đặc biệt về an toàn, trật tự, đạo đức xã hội, sức khỏe cộng đồng."
Người lao động có quyền yêu cầu tăng lương trong trường hợp nào?,"Người lao động có quyền yêu cầu tăng lương khi có sự thay đổi về công việc, tăng trưởng kinh tế hoặc khi mức lương tối thiểu vùng được điều chỉnh."
Thời hạn bảo vệ quyền sở hữu trí tuệ đối với kiểu dáng công nghiệp là bao lâu?,"Thời hạn bảo vệ quyền sở hữu trí tuệ đối với kiểu dáng công nghiệp là 5 năm và có thể gia hạn nhiều lần, mỗi lần 5 năm, nhưng tổng thời gian bảo hộ không quá 15 năm."
Điều kiện để một hợp đồng dịch vụ có hiệu lực là gì?,Hợp đồng dịch vụ có hiệu lực khi được lập thành văn bản hoặc bằng lời nói có sự chứng kiến của các bên và có nội dung rõ ràng.
Người lao động có quyền nghỉ phép hàng năm bao nhiêu ngày?,"Người lao động có quyền nghỉ phép hàng năm 12 ngày nếu làm việc đủ 12 tháng, cộng thêm số ngày nghỉ theo thâm niên làm việc."
Luật Kinh doanh bảo hiểm quy định về trách nhiệm của doanh nghiệp bảo hiểm như thế nào?,"Doanh nghiệp bảo hiểm phải đảm bảo khả năng thanh toán, tuân thủ quy định về dự phòng nghiệp vụ và chịu trách nhiệm với khách hàng về các hợp đồng bảo hiểm đã ký."
Điều kiện để một doanh nghiệp được miễn thuế thu nhập doanh nghiệp là gì?,Doanh nghiệp được miễn thuế thu nhập doanh nghiệp trong các trường hợp đầu tư vào lĩnh vực đặc biệt ưu đãi hoặc trong khu vực có điều kiện kinh tế - xã hội khó khăn.
Luật Giao dịch điện tử quy định về giá trị pháp lý của chữ ký điện tử như thế nào?,Chữ ký điện tử có giá trị pháp lý tương đương chữ ký tay nếu đáp ứng đủ các điều kiện về an toàn và xác thực.
Thời hạn bảo vệ quyền sở hữu trí tuệ đối với bí mật kinh doanh là bao lâu?,Quyền sở hữu trí tuệ đối với bí mật kinh doanh không có thời hạn bảo hộ cố định mà tồn tại miễn là bí mật kinh doanh đó chưa bị bại lộ.
Điều kiện để một hợp đồng mua bán hàng hóa có hiệu lực là gì?,"Hợp đồng mua bán hàng hóa có hiệu lực khi có sự thỏa thuận giữa các bên về đối tượng, giá cả và các điều khoản chính của hợp đồng."
Người lao động có quyền đơn phương chấm dứt hợp đồng lao động mà không cần lý do trong trường hợp nào?,Người lao động có quyền đơn phương chấm dứt hợp đồng lao động không cần lý do sau khi đã làm việc đủ 12 tháng và báo trước ít nhất 45 ngày.
Thời hạn tối đa của giấy phép kinh doanh vận tải là bao lâu?,Giấy phép kinh doanh vận tải có thời hạn tối đa là 7 năm kể từ ngày cấp.
Luật Bảo hiểm y tế quy định về đối tượng tham gia bảo hiểm y tế bắt buộc như thế nào?,"Đối tượng tham gia bảo hiểm y tế bắt buộc bao gồm người lao động, người hưởng lương hưu, trợ cấp bảo hiểm xã hội, học sinh, sinh viên và các đối tượng khác theo quy định."
Điều kiện để một doanh nghiệp được cấp giấy chứng nhận đầu tư là gì?,"Doanh nghiệp phải có dự án đầu tư phù hợp với quy hoạch, có đủ vốn và có cam kết thực hiện các nghĩa vụ tài chính theo quy định."
Thời hạn bảo vệ quyền sở hữu trí tuệ đối với sáng chế là bao lâu?,Thời hạn bảo vệ quyền sở hữu trí tuệ đối với sáng chế là 20 năm kể từ ngày nộp đơn.
Người lao động có quyền nghỉ việc trong thời gian bị tạm giam không?,Người lao động có quyền nghỉ việc trong thời gian bị tạm giam nhưng phải thông báo cho người sử dụng lao động biết.
Luật Kế toán quy định về trách nhiệm của kế toán trưởng như thế nào?,"Kế toán trưởng có trách nhiệm tổ chức công tác kế toán, lập báo cáo tài chính và tuân thủ quy định về kế toán theo pháp luật."
Điều kiện để một công ty TNHH một thành viên chuyển đổi thành công ty cổ phần là gì?,"Công ty TNHH một thành viên phải có quyết định của chủ sở hữu và đáp ứng các điều kiện về vốn, cơ cấu tổ chức theo quy định của Luật Doanh nghiệp."
Thời hạn bảo vệ quyền sở hữu trí tuệ đối với bản quyền tác giả là bao lâu?,Thời hạn bảo vệ quyền sở hữu trí tuệ đối với bản quyền tác giả là suốt cuộc đời tác giả và 50 năm sau khi tác giả qua đời.
Người sử dụng lao động có quyền sa thải người lao động trong trường hợp nào?,"Người sử dụng lao động có quyền sa thải người lao động trong trường hợp người lao động vi phạm kỷ luật nghiêm trọng, trộm cắp, hoặc có hành vi gây thiệt hại nghiêm trọng đến tài sản của công ty."
Điều kiện để một hợp đồng cho thuê tài sản có hiệu lực là gì?,"Hợp đồng cho thuê tài sản có hiệu lực khi có sự thỏa thuận giữa các bên về đối tượng thuê, giá thuê và các điều khoản chính của hợp đồng."
Thời hạn bảo vệ quyền sở hữu trí tuệ đối với thiết kế bố trí mạch tích hợp là bao lâu?,Thời hạn bảo vệ quyền sở hữu trí tuệ đối với thiết kế bố trí mạch tích hợp là 10 năm kể từ ngày nộp đơn.
Người lao động có quyền nghỉ việc để chăm sóc con ốm trong trường hợp nào?,Người lao động có quyền nghỉ việc để chăm sóc con ốm nếu con dưới 7 tuổi và thời gian nghỉ tối đa là 20 ngày trong một năm.
Điều kiện để một doanh nghiệp được cấp giấy phép hoạt động trong lĩnh vực bảo hiểm là gì?,"Doanh nghiệp phải có vốn điều lệ tối thiểu, có trụ sở hoạt động và có nhân sự có trình độ chuyên môn phù hợp."
Người lao động có quyền nghỉ việc hưởng lương trong trường hợp nào?,"Người lao động có quyền nghỉ việc hưởng lương trong các trường hợp nghỉ phép hàng năm, nghỉ lễ, Tết, và nghỉ để kết hôn hoặc chăm sóc con ốm."
Điều kiện để một công ty TNHH hai thành viên trở lên chuyển đổi thành công ty cổ phần là gì?,"Công ty TNHH hai thành viên trở lên phải có quyết định của hội đồng thành viên và đáp ứng các điều kiện về vốn, cơ cấu tổ chức theo quy định của Luật Doanh nghiệp."
Điều kiện để một công ty cổ phần phát hành cổ phiếu ra công chúng là gì?,Công ty cổ phần phải có vốn điều lệ đã góp ít nhất là 10 tỷ đồng và hoạt động có lãi trong năm liền trước năm đăng ký phát hành.
Thời hạn bảo vệ quyền sở hữu trí tuệ đối với nhãn hiệu là bao lâu?,"Thời hạn bảo vệ quyền sở hữu trí tuệ đối với nhãn hiệu là 10 năm và có thể gia hạn nhiều lần, mỗi lần 10 năm."
Người lao động có quyền nghỉ việc không lương trong trường hợp nào?,Người lao động có quyền nghỉ việc không lương tối đa 10 ngày trong một năm.
Điều kiện để một hợp đồng thuê đất có hiệu lực là gì?,"Hợp đồng thuê đất có hiệu lực khi có sự thỏa thuận giữa các bên về đối tượng thuê, giá thuê và các điều khoản chính của hợp đồng."
Người lao động có quyền nghỉ phép hưởng lương trong trường hợp nào?,"Người lao động có quyền nghỉ phép hưởng lương trong các trường hợp nghỉ phép hàng năm, nghỉ lễ, Tết, và nghỉ để kết hôn hoặc chăm sóc con ốm."
Luật Giao thông đường bộ quy định thế nào về việc đội mũ bảo hiểm?,"Theo Luật Giao thông đường bộ, người điều khiển, người ngồi trên xe mô tô, xe gắn máy phải đội mũ bảo hiểm có cài quai đúng quy cách."
Quyền bầu cử và ứng cử của công dân được quy định ở đâu?,Quyền bầu cử và ứng cử của công dân được quy định trong Hiến pháp và các văn bản pháp luật liên quan đến bầu cử.
Thời gian làm việc tối đa theo quy định của Bộ Luật Lao động là bao nhiêu giờ mỗi tuần?,"Theo Bộ Luật Lao động, thời gian làm việc tối đa là 48 giờ mỗi tuần."
Người lao động có quyền nghỉ phép năm như thế nào theo luật?,"Theo Bộ Luật Lao động, người lao động có quyền nghỉ phép năm từ 12 ngày đến 16 ngày tùy theo điều kiện làm việc và thâm niên công tác."
Quyền thừa kế tài sản của cá nhân được quy định như thế nào?,Quyền thừa kế tài sản của cá nhân được quy định trong Bộ Luật Dân sự. Cá nhân có quyền lập di chúc để lại tài sản cho người thừa kế theo ý muốn.
Trách nhiệm của người gây tai nạn giao thông là gì?,"Người gây tai nạn giao thông có trách nhiệm bồi thường thiệt hại, hỗ trợ nạn nhân và có thể bị xử lý hình sự nếu vi phạm nghiêm trọng."
Thủ tục đăng ký kết hôn tại Việt Nam bao gồm những gì?,"Thủ tục đăng ký kết hôn tại Việt Nam bao gồm việc nộp tờ khai đăng ký kết hôn, giấy tờ tùy thân, và các giấy tờ liên quan khác tại UBND xã, phường, thị trấn."
Quy định về tuổi nghỉ hưu của người lao động là gì?,"Theo Bộ Luật Lao động, tuổi nghỉ hưu của người lao động là 60 tuổi đối với nam và 55 tuổi đối với nữ, tuy nhiên có lộ trình tăng dần tuổi nghỉ hưu."
Thời gian tạm giữ người trong trường hợp khẩn cấp là bao lâu?,"Theo Bộ Luật Tố tụng Hình sự, thời gian tạm giữ người trong trường hợp khẩn cấp không quá 3 ngày, có thể gia hạn thêm nhưng tổng thời gian không quá 9 ngày."
Quy định về bảo vệ môi trường trong sản xuất công nghiệp là gì?,"Theo Luật Bảo vệ Môi trường, các cơ sở sản xuất công nghiệp phải tuân thủ các quy định về xử lý chất thải, kiểm soát ô nhiễm và báo cáo định kỳ về tình trạng môi trường."
Người lao động có quyền đơn phương chấm dứt hợp đồng lao động trong trường hợp nào?,"Theo Bộ Luật Lao động, người lao động có quyền đơn phương chấm dứt hợp đồng lao động khi bị ngược đãi, không được trả lương đúng hạn hoặc vì lý do gia đình khó khăn."
Quy định về phòng cháy chữa cháy tại nơi làm việc là gì?,"Theo Luật Phòng cháy chữa cháy, nơi làm việc phải trang bị thiết bị phòng cháy, có kế hoạch ứng phó khẩn cấp và tổ chức tập huấn định kỳ cho nhân viên."
Trách nhiệm của chủ sở hữu bất động sản khi sử dụng đất sai mục đích là gì?,"Theo Luật Đất đai, chủ sở hữu bất động sản sử dụng đất sai mục đích phải chịu trách nhiệm hành chính, có thể bị phạt tiền và buộc khôi phục lại hiện trạng ban đầu."
Quy định về việc nuôi con nuôi là gì?,"Theo Luật Nuôi con nuôi, người nhận nuôi phải đáp ứng các điều kiện về nhân thân, kinh tế, và phải đăng ký tại cơ quan nhà nước có thẩm quyền."
Thủ tục khởi kiện tranh chấp đất đai như thế nào?,"Theo Luật Đất đai, thủ tục khởi kiện tranh chấp đất đai bao gồm việc nộp đơn khởi kiện, cung cấp chứng cứ liên quan và tham gia phiên tòa giải quyết tranh chấp tại tòa án."
Luật Hôn nhân và Gia đình Việt Nam quy định độ tuổi kết hôn là bao nhiêu?,"Theo Điều 8 Luật Hôn nhân và Gia đình năm 2014, độ tuổi kết hôn tối thiểu là nam từ đủ 20 tuổi trở lên và nữ từ đủ 18 tuổi trở lên."
Luật Giao thông đường bộ Việt Nam quy định tốc độ tối đa cho phép trong khu vực đô thị là bao nhiêu?,"Theo Điều 6 Luật Giao thông đường bộ năm 2008, tốc độ tối đa cho phép trong khu vực đô thị là 50 km/h, trừ trường hợp có biển báo khác."
Người lao động có quyền lợi gì khi tham gia bảo hiểm xã hội bắt buộc?,"Theo Luật Bảo hiểm xã hội năm 2014, người lao động có quyền hưởng các chế độ như: chế độ ốm đau, thai sản, tai nạn lao động - bệnh nghề nghiệp, hưu trí và tử tuất."
Luật Doanh nghiệp Việt Nam quy định về vốn điều lệ của công ty TNHH là gì?,"Theo Điều 4 Luật Doanh nghiệp năm 2020, vốn điều lệ của công ty TNHH là tổng giá trị tài sản do các thành viên đã góp hoặc cam kết góp khi thành lập công ty."
Luật Đất đai quy định thời hạn sử dụng đất nông nghiệp là bao nhiêu năm?,"Theo Điều 126 Luật Đất đai năm 2013, thời hạn sử dụng đất nông nghiệp đối với hộ gia đình, cá nhân trực tiếp sản xuất nông nghiệp là 50 năm."
Luật Lao động Việt Nam quy định thời gian làm việc tối đa một ngày là bao nhiêu?,"Theo Điều 104 Bộ luật Lao động năm 2019, thời gian làm việc tối đa là 8 giờ/ngày và 48 giờ/tuần."
Quyền và nghĩa vụ của người mua hàng theo Luật Bảo vệ quyền lợi người tiêu dùng là gì?,"Theo Luật Bảo vệ quyền lợi người tiêu dùng năm 2010, người tiêu dùng có quyền được bảo vệ an toàn tính mạng, sức khỏe, tài sản, quyền lợi hợp pháp khác và có nghĩa vụ cung cấp thông tin chính xác về hàng hóa, dịch vụ mà mình mua."
Luật Thuế thu nhập cá nhân quy định mức thu nhập chịu thuế là bao nhiêu?,"Theo Điều 7 Luật Thuế thu nhập cá nhân năm 2007 và các văn bản hướng dẫn, mức thu nhập chịu thuế từ tiền lương, tiền công của cá nhân cư trú là từ 9 triệu đồng/tháng trở lên."
Luật Tố tụng hình sự Việt Nam quy định thời hạn tạm giữ là bao lâu?,"Theo Điều 118 Bộ luật Tố tụng hình sự năm 2015, thời hạn tạm giữ là không quá 3 ngày, có thể gia hạn thêm nhưng tổng thời gian không quá 9 ngày."
Luật Bảo vệ môi trường quy định các hành vi bị cấm trong hoạt động bảo vệ môi trường là gì?,"Theo Điều 7 Luật Bảo vệ môi trường năm 2020, các hành vi bị cấm bao gồm: xả chất thải chưa xử lý ra môi trường, khai thác tài nguyên thiên nhiên trái phép, phá hoại công trình bảo vệ môi trường, gây ô nhiễm tiếng ồn, và các hành vi khác gây hại đến môi trường."
Quy định về quyền và nghĩa vụ của người sử dụng đất nông nghiệp là gì?,"Theo Luật Đất đai, người sử dụng đất nông nghiệp có quyền chuyển nhượng, cho thuê, thừa kế quyền sử dụng đất và phải tuân thủ các quy định về bảo vệ môi trường, sử dụng đất hiệu quả."
Thủ tục cấp giấy phép lao động cho người nước ngoài là gì?,"Theo Luật Lao động, thủ tục cấp giấy phép lao động cho người nước ngoài bao gồm nộp đơn đề nghị, giấy tờ chứng minh nhân thân, bằng cấp, kinh nghiệm làm việc và các giấy tờ liên quan khác tại cơ quan quản lý lao động."
Quy định về bảo vệ quyền lợi của người thuê nhà ở là gì?,"Theo Luật Nhà ở, người thuê nhà ở có quyền yêu cầu chủ nhà thực hiện đúng hợp đồng thuê, bảo đảm an toàn, vệ sinh và phải tuân thủ các quy định về sử dụng, bảo quản tài sản thuê."
Trách nhiệm của cơ quan nhà nước trong việc bảo vệ quyền lợi của người khuyết tật là gì?,"Theo Luật Người khuyết tật, cơ quan nhà nước có trách nhiệm xây dựng, thực hiện các chính sách hỗ trợ người khuyết tật, đảm bảo quyền lợi trong giáo dục, y tế, việc làm và tham gia các hoạt động xã hội."
Quy định về quyền và nghĩa vụ của người lao động trong hợp đồng lao động là gì?,"Theo Bộ Luật Lao động, người lao động có quyền yêu cầu người sử dụng lao động thực hiện đầy đủ các điều khoản trong hợp đồng lao động và phải tuân thủ các quy định về thời gian làm việc, nghỉ ngơi, kỷ luật lao động."
Thủ tục cấp giấy chứng nhận quyền sử dụng đất ở là gì?,"Theo Luật Đất đai, thủ tục cấp giấy chứng nhận quyền sử dụng đất ở bao gồm nộp đơn đề nghị, giấy tờ chứng minh quyền sử dụng đất hợp pháp và các giấy tờ liên quan khác tại cơ quan quản lý đất đai."
Quy định về bảo vệ quyền lợi của người lao động khi nghỉ hưu là gì?,"Theo Bộ Luật Lao động, người lao động nghỉ hưu có quyền nhận lương hưu, trợ cấp bảo hiểm xã hội và các quyền lợi khác theo quy định pháp luật."
"Trách nhiệm của cá nhân, tổ chức trong việc bảo vệ môi trường biển là gì?","Theo Luật Bảo vệ Môi trường, cá nhân, tổ chức có trách nhiệm bảo vệ, ngăn chặn các hành vi gây ô nhiễm, khai thác trái phép và tham gia các hoạt động bảo vệ môi trường biển."
Quy định về quyền và nghĩa vụ của người sử dụng dịch vụ tài chính là gì?,"Theo Luật Các tổ chức tín dụng, người sử dụng dịch vụ tài chính có quyền yêu cầu cung cấp dịch vụ an toàn, bảo mật thông tin và phải thực hiện nghĩa vụ thanh toán các khoản vay, phí dịch vụ theo hợp đồng."
Thủ tục cấp giấy chứng nhận quyền sở hữu công trình xây dựng là gì?,"Theo Luật Xây dựng, thủ tục cấp giấy chứng nhận quyền sở hữu công trình xây dựng bao gồm nộp đơn đề nghị, bản vẽ thiết kế, giấy tờ chứng minh quyền sở hữu và các giấy tờ liên quan khác tại cơ quan quản lý xây dựng."
Quy định về bảo vệ quyền lợi của người lao động khi bị sa thải là gì?,"Theo Bộ Luật Lao động, người lao động bị sa thải có quyền yêu cầu giải quyết tranh chấp lao động, nhận trợ cấp thôi việc, bảo hiểm xã hội và các quyền lợi khác theo hợp đồng lao động."
"Trách nhiệm của cá nhân, tổ chức trong việc bảo vệ quyền sở hữu trí tuệ là gì?","Theo Luật Sở hữu trí tuệ, cá nhân, tổ chức có trách nhiệm bảo vệ, ngăn chặn các hành vi xâm phạm quyền sở hữu trí tuệ, đăng ký quyền sở hữu trí tuệ và thực hiện các biện pháp bảo vệ quyền lợi hợp pháp."
Quy định về quyền và nghĩa vụ của người thuê lao động là gì?,"Theo Bộ Luật Lao động, người thuê lao động có quyền yêu cầu người lao động thực hiện công việc theo hợp đồng và phải đảm bảo các quyền lợi, nghĩa vụ liên quan đến tiền lương, thời gian làm việc, an toàn lao động."
Thủ tục cấp giấy chứng nhận quyền sử dụng đất nông nghiệp là gì?,"Theo Luật Đất đai, thủ tục cấp giấy chứng nhận quyền sử dụng đất nông nghiệp bao gồm nộp đơn đề nghị, giấy tờ chứng minh quyền sử dụng đất hợp pháp và các giấy tờ liên quan khác tại cơ quan quản lý đất đai."
